date,open,high,low,close,fluctuation
2020/03/27,232.15,232.20,225.05,226.35,-7.05
2020/03/26,226.80,238.95,226.65,238.95,11.35
2020/03/25,234.50,237.45,227.85,233.10,0.60
2020/03/24,219.50,225.85,218.45,224.15,4.15
2020/03/23,199.90,209.25,199.65,203.30,3.90
2020/03/20,218.75,219.85,209.65,210.00,-5.55
2020/03/19,201.05,205.35,199.50,204.10,6.60
2020/03/18,212.75,216.40,207.50,212.25,0.70
2020/03/17,222.00,229.70,218.10,229.30,4.90
2020/03/16,229.50,229.50,218.10,218.10,-11.45
2020/03/13,243.55,252.05,237.95,247.40,6.85
2020/03/12,243.45,244.80,231.65,231.65,-12.15
2020/03/11,258.10,259.05,252.95,254.60,-2.30
2020/03/10,265.25,267.30,261.15,267.25,2.25
2020/03/09,262.35,263.05,255.55,259.10,-3.30
2020/03/06,274.20,274.70,269.95,270.40,-3.80
2020/03/05,279.50,280.35,275.80,276.10,-5.15
2020/03/04,278.75,281.10,277.90,280.55,2.30
2020/03/03,273.80,276.20,269.15,270.40,-1.90
2020/03/02,272.50,273.20,268.55,271.90,1.00
2020/02/28,268.05,269.80,265.10,267.45,-0.40
2020/02/27,278.95,280.40,274.15,276.00,-1.75
2020/02/26,279.40,282.10,277.05,279.20,-0.80
2020/02/25,283.55,284.25,276.80,277.95,-6.75
2020/02/24,279.35,279.55,276.90,278.50,-2.65
2020/02/21,291.85,292.45,289.95,290.15,-1.75
2020/02/20,297.00,297.05,291.60,293.00,-4.40
2020/02/19,298.50,299.85,298.40,299.30,0.55
2020/02/18,297.50,298.90,297.10,298.55,0.75
2020/02/17,302.95,303.30,302.35,303.20,0.25
2020/02/14,302.65,303.95,301.70,301.85,-1.50
2020/02/13,300.40,301.20,298.55,301.05,0.60
2020/02/12,302.45,303.65,301.85,303.55,1.70
2020/02/11,299.70,301.05,299.25,299.45,-0.35
2020/02/10,295.85,297.20,295.40,296.80,0.35
2020/02/07,297.65,297.90,295.20,295.70,-2.30
2020/02/06,301.20,301.20,299.45,300.10,-1.30
2020/02/05,293.30,296.25,293.10,295.55,3.25
2020/02/04,291.95,294.25,291.75,294.05,2.65
2020/02/03,285.15,286.85,284.30,286.80,1.60
2020/01/31,284.55,285.30,281.35,281.75,-3.40
2020/01/30,287.80,288.65,286.20,288.00,0
2020/01/29,294.30,294.80,293.30,294.20,0.05
2020/01/28,292.60,294.55,290.65,294.35,1.35
2020/01/23,302.95,303.35,301.05,303.25,0.40
2020/01/22,306.40,306.70,305.20,305.80,-0.95
2020/01/21,301.60,302.80,301.25,301.85,-0.15
2020/01/20,305.95,306.30,305.65,306.05,-0.30
2020/01/17,304.10,304.95,303.85,304.40,0.60
2020/01/16,303.30,304.70,303.15,304.15,1.00
2020/01/15,300.35,301.15,299.15,299.85,-0.35
2020/01/14,301.35,302.30,301.20,302.05,0.05
2020/01/13,300.80,302.65,300.25,302.45,1.80
2020/01/10,297.50,298.20,297.10,297.30,-0.35
2020/01/09,295.50,295.80,293.95,294.60,-0.40
2020/01/08,290.55,293.75,290.55,293.50,3.35
2020/01/07,292.75,292.75,291.20,292.55,0.15
2020/01/06,288.30,290.40,287.95,289.90,0.90
2020/01/03,291.15,291.75,289.60,290.90,-0.60
2020/01/02,291.35,293.25,291.00,293.20,2.45
2019/12/30,295.30,295.60,293.20,293.25,-1.95
2019/12/27,296.85,297.40,295.30,295.35,-1.30
2019/12/26,291.50,291.85,291.30,291.65,0.15
2019/12/24,289.70,290.20,289.70,290.10,0.40
2019/12/23,292.10,292.70,291.90,292.45,0.45
